"id_varco","c_i.gauss1","c_i.poi1","c_i.gauss2","c_i.poi2","c_i.gauss3","c_i.poi3"
"1",-0.000433692750787098,4499.26927739785,-0.000255902332457266,4498.74376568781,-5.53996670067254e-06,4499.07845856493
"2",0.000148032715747696,5578.82056217206,0.000351676463052637,5578.6027919643,-0.000283985429944916,5578.7124934751
"3",-0.000993455190453881,960.809229009445,-0.000642249464275819,960.592139828559,-0.000411248680138882,960.504368289162
"4",-0.00537797797296746,3413.3309532538,0.000230562428019149,3413.35185146313,2.23591087291134e-06,3413.17965322804
"5",0.00259354207608695,572.23588906134,0.000217848616266541,572.123067577015,0.00020071074715551,572.077581841684
"6",0.0013048117119217,254.377746563243,-8.58943156362612e-06,254.469490697302,0.000278880551906933,254.428583923387
"7",-0.000643800748533389,2620.23983603992,4.14458876705956e-05,2620.19049565646,-6.22064977007995e-05,2620.03044499578
"8",-0.0010423331508474,9752.35701020702,-2.66669951814459e-05,9751.65872243489,-2.75098349843285e-05,9751.51123280915
"9",0.00276980845308045,8424.11932946854,-0.000108839765319917,8423.45367746572,-2.30582167871129e-05,8423.90509840443
"10",8.09752671583331e-05,301.502980513063,-0.000193079295273525,301.493016948775,-7.39168696622167e-05,301.386656026207
"11",0.00346214106632006,2445.93728213957,-0.000195885835067995,2446.15427376776,-0.000382231370387902,2446.1044773299
"12",-0.00202263560552127,344.250994493292,-0.000225386878215379,344.190515035438,-0.000225147888724921,344.283213544959
"13",-0.00102384517673201,4339.01813072892,-0.000205630892459008,4339.15244572253,9.11520019966781e-05,4339.19732330291
"14",-0.00364437055795302,1548.56684547987,-7.18225822445809e-05,1548.03634717009,-0.000218832794329146,1548.04291104143
"15",-0.000445148282689582,7099.53475714193,0.000219067908086959,7099.27774233575,-0.00041812875953045,7099.28397459169
"16",-0.00444110460849398,4820.55582058977,0.000231678396522165,4820.38345633519,9.59746599405878e-05,4820.56794679716
"17",-0.00210491493719591,612.070939487708,-0.000175659252902695,612.243695323092,-0.000286277286427594,611.995554294505
"18",-0.00405975030964902,1844.32249054828,0.000388968598114188,1844.28201232292,-0.00017156818864179,1844.34919110657
"19",-0.000312806328598538,3985.32137403919,0.000107633337549859,3984.99733015243,0.000412224563500441,3985.34028153628
"20",0.000952430503675827,1990.55153021928,0.000108170477760127,1990.35976014655,0.00047440769432975,1990.70311639365
"21",0.00014093810218109,981.473469779272,2.98752514928298e-05,981.4824013747,-0.000121213668425218,981.130076642195
"22",-0.00221822719785942,2130.31327164727,0.000102766823634153,2130.53086544432,-0.000118793761328405,2130.45737529462
"23",0.000720381784107633,331.012913827646,-0.000520756826907977,331.028254687433,8.27099600639283e-05,331.1454275341
"24",0.00105296858299715,1644.87370480733,-0.000661424138975769,1644.83100292426,-0.000217984088743824,1644.66720070693
"25",0.000380190892431897,5235.04462935879,4.43383193596295e-05,5234.64660280832,5.64409502665185e-05,5234.89231513706
"26",0.00488960644829123,732.916928875393,7.11365003010568e-06,732.891293628081,0.000335284745661754,732.861644091919
"27",0.00169826651381742,1940.20110310544,5.17973238690469e-05,1940.17371000196,5.02921091508106e-05,1939.85084196848
"28",0.000486639451935344,625.018071700481,0.000487844736995665,624.734835207601,0.000391335000008245,624.6838916985
"29",0.000231610447822573,6449.21016846695,0.000216806509469494,6448.96814316154,-0.000177388299240337,6449.01604065801
"30",0.0004504039812119,3904.6860012153,-3.26357918188389e-05,3904.66209897204,0.00013961692179592,3904.32111147834
"31",-0.00358563574655637,1091.66074778361,0.000208556807788567,1091.79193260096,8.66603043646448e-05,1091.84917660243
"32",0.00264538166964268,600.875806931378,-0.00024507929022737,600.863098413807,-3.25060826519659e-06,600.893673800642
"33",-0.000398887405514802,2606.56879160847,-4.57728281021375e-05,2606.67839710958,-0.000480120077799044,2606.93817887941
"34",0.0014855078416773,2422.52841340751,0.000446533830006076,2422.32780872473,-6.32316780404703e-05,2422.32543562495
"35",-0.000283685595244865,6181.49803061562,0.00044689507087633,6181.04826112068,-0.000272190189761739,6181.2219775985
"36",0.00516781641730685,2083.61738835085,1.40501184992223e-06,2083.37211445248,-1.77594976068889e-06,2083.11508794617
"37",0.00225262549928332,2045.04025924161,-0.00030784778299,2044.7738968869,-0.000407074610160545,2045.03269967183
"38",-0.00202011083619812,5817.80284764038,2.59666672763251e-05,5818.02070220588,-0.000287899728762331,5817.93592385575
"39",-0.00349773456984018,3244.14294141068,0.000197853557745398,3244.1641716733,0.000164383090661841,3243.81431992406
"40",0.00815258026709139,6259.52117737081,6.36886402005921e-05,6259.34253932589,-0.000533746112364437,6259.28060337015
