"id_varco","c_i.gauss1","c_i.poi1","c_i.gauss2","c_i.poi2","c_i.gauss3","c_i.poi3"
"1",-0.000232735446653151,4501.01491505148,-4.77269159139742e-05,4501.21243808811,-0.000715430156715307,4501.03234928006
"2",1.74628389120644e-05,5691.19153781202,6.59017481063478e-05,5691.37915049347,0.000129137819645548,5691.20272132253
"3",7.92099808755695e-05,973.052998062709,5.64971380346338e-05,973.047435208529,-0.00031760078082748,972.987914043355
"4",0.000345624174235912,3672.4157562465,-1.29266879807237e-05,3672.4321872193,-0.00025888202181451,3672.39738010903
"5",0.000125170838156849,598.001324388393,-1.07877318021289e-06,598.023360791438,0.000215329482186572,598.025541905675
"6",-0.000448750669014262,238.94926017342,-0.000103052433740284,238.877634863208,-0.000402684768800261,238.807454475253
"7",0.000201065865642279,2594.40277083521,-9.18586777613586e-05,2594.37104496583,0.00041664053001056,2594.33877613383
"8",-0.000234629793723502,9556.28020287016,2.48980057681168e-06,9557.03505108739,-0.000519828114141558,9556.59824000084
"9",-5.77833829149223e-06,8384.62594455739,7.89946168598056e-05,8385.07883416392,-6.48933012940233e-05,8385.03773373702
"10",3.34914334780973e-05,293.160797240517,-0.000145079331669983,293.208059854091,0.000396962283587847,293.147382665031
"11",3.91320202767664e-05,2397.64305166681,-0.000170824299766787,2397.75164810326,0.00011072030854679,2397.52303948804
"12",-0.000109835472088558,337.855578446752,0.000101762801232868,337.772623539468,0.000134890386084321,337.915283463731
"13",4.96960854805375e-05,4316.87889412498,0.000160299004459255,4317.18284908196,-0.000330548165328585,4316.82871748979
"14",9.47893675619489e-05,1499.14506723149,9.54509106723685e-05,1499.1509922859,0.000110567038075003,1499.18026009012
"15",-0.000145034089004257,7433.89730219622,-0.000190005358518014,7434.74848132895,0.000436926155620948,7434.04221682595
"16",-4.74916307726955e-05,4833.08399298154,-0.000140630308091311,4832.94410247659,-0.000169756342385785,4832.87827633121
"17",4.23492723663809e-05,601.030017592766,-1.34397481676464e-05,601.006866655026,0.000370818079226325,601.005984301893
"18",-7.51270794348088e-05,1791.5407999341,-8.4497001119977e-05,1791.41178987136,-9.6671431675822e-05,1791.32864526941
"19",0.000227656275580404,3960.15736197401,7.75084336694871e-05,3960.22992341988,0.000133050891328033,3960.31303652523
"20",7.57063483020227e-05,2002.95522555557,0.000132077314583159,2002.82591247091,0.000348703146474165,2002.97949901682
"21",6.44910430632944e-05,1027.16177662969,0.000143980975701888,1027.13929377819,-0.000404612100331931,1027.15223095517
"22",-5.82153410002235e-05,2119.69167764923,-6.51393521570667e-05,2119.48316039661,0.000284982796901457,2119.66903202331
"23",0.000244849140618748,343.108535295407,0.000150294184610991,343.175979761923,-0.000350041257369825,343.055222692462
"24",-1.09047164017598e-05,1460.76877902085,0.000114824910807559,1460.76198384927,2.01609289564574e-05,1460.58831166135
"25",-0.000171048416634682,5758.24863647713,0.00021547982890485,5758.56222453285,0.000473169323302033,5758.10191264439
"26",-6.49446236401414e-05,736.919094705642,-1.97651725087946e-06,736.939116539232,-0.000601971744263617,736.887188246278
"27",-0.000158015278500294,1954.10377533775,4.44024309086456e-05,1953.97732815285,0.000265273905564952,1954.02271233872
"28",-0.000193527560351181,600.162336769301,1.06723616889138e-05,600.092721217104,-0.000366106450577442,600.037251321398
"29",1.32656174795756e-06,6624.38031311324,5.49038058121255e-05,6624.49413788291,0.000213076268396041,6624.45763068367
"30",-0.000140734279443103,3805.3978869103,0.000119220494458947,3805.70243995752,0.000269076001584877,3805.23053728041
"31",-0.000135078774979919,1093.80794820343,-7.38841714232585e-06,1093.83874372488,-0.000404319070069038,1093.59827168082
"32",8.20535367258e-05,576.66480892523,-1.01719343588686e-05,576.73832661074,0.000318544975393022,576.720725035252
"33",-3.24106328899433e-05,2699.66823338814,-3.65848399269641e-05,2699.60140521055,-0.00040704037023584,2699.63906185842
"34",6.26866324923209e-05,2302.73225610539,-6.07439766435535e-05,2302.7284091098,-0.000129342483521826,2302.66776842002
"35",-2.33901826811014e-05,6355.80652717807,6.90086428083481e-05,6355.50296308991,0.000293617218163944,6355.66957958458
"36",-0.000121425044456539,2253.94224954664,-0.000289457384070062,2254.04386893087,-0.000233520823635302,2254.09620572518
"37",0.000103599959831684,1952.12324438254,-1.72167232885054e-05,1952.10519559489,0.000154531203069008,1952.25918365873
"38",5.37916140341958e-05,5666.2748401268,-9.02322200067254e-05,5666.06158961509,8.878781041955e-05,5665.7500495181
"39",-3.26215686091217e-05,3063.41758023506,-8.58928071993943e-05,3063.29886223759,-6.333603634385e-05,3063.46992285585
"40",2.68784590566313e-05,5048.59885412847,0.000322559464875171,5048.43338593267,0.000278796236547203,5048.22116579012
